,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Hoop Final,,,,,,,,,,
,,,,,,,TUE 17 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,SELEZNEVA Ekaterina,,,RUS,,14.4,5.1,9.3,9.1,-0.4,-0.500,23.5,3,8,
,2,ASHRAM Linoy,,,ISR,,14.7,5.4,9.3,8.7,-0.5,-0.800,23.4,2,7,
,3,AVERINA Dina,,,RUS,,14.1,4.9,9.2,9.25,-0.3,-0.450,23.35,1,4,
,4,ZELIKMAN Nicol,,,ISR,,12.9,4.4,8.5,8.55,-0.5,-0.950,21.45,7,1,
,5,KALEYN Boryana,,,BUL,,12.8,5,7.8,8.6,-0.5,-0.900,21.4,8,3,
,6,AGIURGIUCULESE Alexandra,,,ITA,,12.9,4.4,8.5,8.45,-0.6,-0.950,21.35,6,5,
,7,HALKINA Katsiaryna,,,BLR,,12.1,4.7,7.4,8.9,-0.4,-0.700,21,5,2,
,8,SALOS Anastasiia,,,BLR,,12.2,4.7,7.5,7.35,-0.9,-1.750,-0.30,19.25,4,6
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
,,,,,,,,,,,Official Results Provider,,,,,
GRYW1APHO-------------FNL---------_73I 1.0,,,,,Report Created TUE 17 SEP 2019 20:05,,,,,,Page 1/1,,,,,
,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Ball Final,,,,,,,,,,
,,,,,,,TUE 17 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,14.4,4.8,9.6,9.1,-0.4,-0.500,23.5,1,8,
,2,AVERINA Arina,,,RUS,,14,5.1,8.9,9.1,-0.4,-0.500,-0.05,23.05,2,7
,3,ASHRAM Linoy,,,ISR,,13.9,5.1,8.8,8.55,-0.5,-0.950,-0.05,22.4,7,5
,4,BALDASSARRI Milena,,,ITA,,13.6,5.2,8.4,8.6,-0.6,-0.800,22.2,5,4,
,5,KALEYN Boryana,,,BUL,,13.5,5.1,8.4,8.6,-0.4,-1.000,22.1,3,6,
,6,NIKOLCHENKO Vlada,,,UKR,,12.9,5.3,7.6,8.55,-0.5,-0.950,21.45,4,2,
,7,ZELIKMAN Nicol,,,ISR,,13,4.6,8.4,8.45,-0.6,-0.950,21.45,6,1,
,8,GRISKENAS Evita,,,USA,,12,5.1,6.9,8.35,-0.5,-1.150,20.35,8,3,
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
,,,,,,,,,,,Official Results Provider,,,,,
GRYW1APBA-------------FNL---------_73I 1.0,,,,,Report Created TUE 17 SEP 2019 20:45,,,,,,Page 1/1,,,,,
,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,"
,,,,,,Individual Clubs Final,,,,,,,,,
,,,,,,,THU 19 SEP 2019,,,,,,,,
,,,,,,,Results,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,
,1,AVERINA Dina,,,RUS,,14.8,4.9,9.9,9,-0.4,-0.600,23.8,2,8
,2,ASHRAM Linoy,,,ISR,,14.6,5.4,9.2,8.7,-0.5,-0.800,23.3,3,1
,3,NIKOLCHENKO Vlada,,,UKR,,13.8,5.9,7.9,8.55,-0.7,-0.750,22.35,4,4
,4,AVERINA Arina,,,RUS,,13.6,5.1,8.5,8.45,-0.5,-1.050,22.05,1,3
,5,AGIURGIUCULESE Alexandra,,,ITA,,13.4,5.2,8.2,8.5,-0.5,-1.000,21.9,7,2
,6,HARNASKO Alina,,,BLR,,13.1,4.8,8.3,8.5,-0.6,-0.900,21.6,9,5
,7,ZELIKMAN Nicol,,,ISR,,12.9,4.2,8.7,7.95,-0.9,-1.150,20.85,6,6
,8,HALKINA Katsiaryna,,,BLR,,12.7,4.8,7.9,8.1,-0.7,-1.200,20.8,8,7
Legend:,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,
Pen.,Penalty,,,,,,,,,,,,,,
,,,,,,,,,,,Official Results Provider,,,,
GRYW1APCL-------------FNL---------_73I 1.0,,,,,Report Created THU 19 SEP 2019 20:08,,,,,,Page 1/1,,,,
,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,,"
,,,,,,Individual Ribbon Final,,,,,,,,,,
,,,,,,,THU 19 SEP 2019,,,,,,,,,
,,,,,,,Results,,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,,
,1,AVERINA Dina,,,RUS,,12.7,5.2,7.5,9.1,-0.4,-0.500,21.8,1,5,
,2,ASHRAM Linoy,,,ISR,,12.8,5.3,7.5,8,-0.6,-1.400,-0.05,20.75,2,8
,3,SELEZNEVA Ekaterina,,,RUS,,12,5.1,6.9,8.7,-0.6,-0.700,-0.05,20.65,4,6
,4,NIKOLCHENKO Vlada,,,UKR,,12.3,5.8,6.5,8.05,-0.6,-1.350,20.35,3,3,
,5,ZENG Laura,,,USA,,11,4.7,6.3,8.3,-0.7,-1.000,19.3,9,4,
,6,HARNASKO Alina,,,BLR,,10.8,4.6,6.2,8,-0.8,-1.200,18.8,8,2,
,7,SALOS Anastasiia,,,BLR,,10.3,4.4,5.9,7.5,-0.7,-1.800,17.8,7,1,
,8,BALDASSARRI Milena,,,ITA,,9.6,4.9,4.7,7.125,-0.9,-1.975,16.725,5,7,
Legend:,,,,,,,,,,,,,,,,
D,Difficulty,DA,Difficulty Apparatus,DB,Difficulty Body,E,Execution,EA,Execution Artistic,ET,Execution Technical,,,,,
Pen.,Penalty,,,,,,,,,,,,,,,
